config_id,file_name,file_path,source_type,active_flag,created_at,last_run_date,sharepoint_site_url,sharepoint_file_path,target_folder_path_adls,expected_file_format,schedule,refresh_time,destination_table,notebook_path
13,00. Calendar Holidays.xlsx,/sites/BelivData/Shared Documents/Supply/10.Calendar/00. Calendar Holidays.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/10.Calendar/00. Calendar Holidays.xlsx,creado_interno/calendar_holidays,xlsx,daily,600000,silver_work_holidays,/Workspace/Notebooks/Ingestion/inventory_policy
9,Masterplanprocurement.xlsx,/sites/BelivData/Shared Documents/Supply/8.Procurement/Masterplanprocurement.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/8.Procurement/Masterplanprocurement.xlsx,creado_interno/master_plan_procurement,xlsx,daily,600000,silver_master_plan_procurement,/Workspace/Notebooks/Ingestion/masterplan_procurement
11,Inventory Policy.xlsx,/sites/BelivData/Shared Documents/Supply/4.Politicas de Inventario/Inventory Policy.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/4.Politicas de Inventario/Inventory Policy.xlsx,creado_interno/politicas_de_inventario,xlsx,daily,600000,silver_inventory_policy,/Workspace/Notebooks/Ingestion/inventory_policy
12,Initial Inventory - Bill Of Material.xlsx,/sites/BelivData/Shared Documents/Supply/7.BillOfMaterials/Initial Inventory - Bill Of Material.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/7.BillOfMaterials/Initial Inventory - Bill Of Material.xlsx,creado_interno/initial_inventory,xlsx,daily,600000,silver_initial_inventory,/Workspace/Notebooks/Ingestion/inventory_policy
10,DATA_COSTOS_TRANSFORMADOS_COMPLETO.xlsx,/sites/BelivData/Shared Documents/Supply/9.Cost/DATA_COSTOS_TRANSFORMADOS_COMPLETO.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/9.Cost/DATA_COSTOS_TRANSFORMADOS_COMPLETO.xlsx,creado_interno/cost_data,xlsx,daily,600000,bronze_synaxis_cost_per_unit,/Workspace/Notebooks/Ingestion/cost_per_unit
4,ID Pricing.xlsx,/sites/BelivData/Shared Documents/Finanzas/1.RGM/ID Pricing.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Finanzas/1.RGM/ID Pricing.xlsx,creado_interno/id_pricing,xlsx,daily,600000,silver_id_pricing,/Workspace/Notebooks/Ingestion/id_pricing
8,ScheduledReceiptRequisition PT.xlsx,/sites/BelivData/Shared Documents/Supply/11.ReceiptRequisition/ScheduledReceiptRequisition PT.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/11.ReceiptRequisition/ScheduledReceiptRequisition PT.xlsx,creado_interno/receipt_requisition,xlsx,daily,600000,bronze_schedule_receipt_requisition,/Workspace/Notebooks/Ingestion/schedule_receipt_req
7,sku_producing-plant.xlsx,/sites/BelivData/Shared Documents/Supply/11.ReceiptRequisition/sku_producing-plant.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/11.ReceiptRequisition/sku_producing-plant.xlsx,creado_interno/sku_producing-plant,xlsx,daily,600000,bronze_sku_producing_plant,/Workspace/Notebooks/Ingestion/sku_producing_plant
3,BelivBillOfMaterial.xlsx,/sites/BelivData/Shared Documents/Supply/7.BillOfMaterials/BelivBillOfMaterial.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/7.BillOfMaterials/BelivBillOfMaterial.xlsx,creado_interno/bill_of_materials,xlsx,daily,600000,silver_bill_of_material,/Workspace/Notebooks/Ingestion/bill_of_material
14,calendar_by_site.xlsx,/sites/BelivData/Shared Documents/Supply/10.Calendar/calendar_by_site.xlsx,SharePoint,true,2025-05-20T10:00:00.000Z,null,https://mariposacbc.sharepoint.com/sites/BelivData/,/Shared Documents/Supply/10.Calendar/calendar_by_site.xlsx,creado_interno/calendar_by_site,xlsx,daily,600000,silver_calendar,/Workspace/Notebooks/Ingestion/inventory_policy
